GEOid,GEOid2,location,lat,lng,shel11,shel12,shel13,shel14,shel15,shel16,shel17
0400000US01,1,Alabama,32.806,-86.791,1,1,3,4,17,66,73
0400000US02,2,Alaska,61.37,-152.404,0,1,1,1,1,7,9
0400000US04,4,Arizona,33.729,-111.431,2,2,17,24,35,108,114
0400000US05,5,Arkansas,34.969,-92.373,0,0,2,4,8,40,49
0400000US06,6,California,36.116,-119.681,6,10,30,52,93,444,481
0400000US08,8,Colorado,39.059,-105.311,1,1,17,21,32,83,88
0400000US09,9,Connecticut,41.579,-72.755,0,0,4,4,6,37,39
0400000US10,10,Delaware,39.318,-75.507,0,0,1,1,1,13,13
0400000US12,12,Florida,27.766,-81.686,4,3,20,32,61,224,247
0400000US13,13,Georgia,33.041,-83.643,4,4,17,22,44,150,168
0400000US15,15,Hawaii,21.094,-157.498,0,0,1,1,4,5,6
0400000US16,16,Idaho,44.24,-114.478,1,1,4,6,9,25,32
0400000US17,17,Illinois,40.349,-88.986,2,3,11,14,29,93,107
0400000US18,18,Indiana,39.849,-86.258,2,2,10,11,19,94,99
0400000US19,19,Iowa,42.011,-93.21,0,1,3,6,9,31,33
0400000US20,20,Kansas,38.526,-96.726,1,1,1,3,9,31,33
0400000US21,21,Kentucky,37.668,-84.67,1,2,5,7,19,70,79
0400000US21,22,Louisiana,31.169,-91.876,2,3,8,9,18,69,77
0400000US23,23,Maine,44.693,-69.381,0,0,0,2,4,21,21
0400000US24,24,Maryland,39.063,-76.802,0,0,10,14,20,58,71
0400000US25,25,Massachusetts,42.23,-71.53,1,1,4,4,10,66,71
0400000US26,26,Michigan,43.326,-84.536,0,2,10,12,22,71,80
0400000US27,27,Minnesota,45.694,-93.9,0,0,5,7,18,52,58
0400000US28,28,Mississippi,32.741,-89.678,0,1,2,6,9,46,50
0400000US29,29,Missouri,38.456,-92.288,2,1,4,10,15,52,66
0400000US30,30,Montana,46.921,-110.454,0,0,1,1,3,19,21
0400000US31,31,Nebraska,41.125,-98.268,1,0,1,1,4,27,28
0400000US32,32,Nevada,38.313,-117.055,1,1,7,7,10,37,43
0400000US33,33,New Hampshire,43.452,-71.563,0,0,2,2,8,26,26
0400000US34,34,New Jersey,40.298,-74.521,0,0,8,13,23,85,92
0400000US35,35,New Mexico,34.84,-106.248,0,0,5,8,13,48,51
0400000US36,36,New York,42.165,-74.948,1,2,12,20,36,154,180
0400000US37,37,North Carolina,35.63,-79.806,1,1,9,14,27,96,110
0400000US38,38,North Dakota,47.528,-99.784,0,0,1,2,3,10,12
0400000US39,39,Ohio,40.388,-82.764,2,1,11,19,30,91,106
0400000US40,40,Oklahoma,35.565,-96.928,2,2,4,2,5,40,56
0400000US41,41,Oregon,44.572,-122.017,0,0,9,16,28,78,81
0400000US42,42,Pennsylvania,40.59,-77.209,1,2,4,7,17,96,103
0400000US44,44,Rhode Island,41.68,-71.511,0,0,2,3,5,12,12
0400000US45,45,South Carolina,33.856,-80.945,0,0,7,11,17,75,83
0400000US46,46,South Dakota,44.299,-99.438,0,0,1,2,3,10,10
0400000US47,47,Tennessee,35.747,-86.692,1,2,10,20,29,114,120
0400000US48,48,Texas,31.054,-97.563,5,5,24,40,65,214,245
0400000US49,49,Utah,40.15,-111.862,1,1,2,1,18,70,70
0400000US50,50,Vermont,44.045,-72.71,0,0,2,3,10,17,18
0400000US51,51,Virginia,37.769,-78.169,2,2,9,13,27,106,122
0400000US53,53,Washington,47.401,-121.49,1,1,7,11,22,70,78
0400000US54,54,West Virginia,38.491,-80.954,0,0,0,0,2,27,30
0400000US55,55,Wisconsin,44.268,-89.616,2,2,9,13,20,55,64
0400000US56,56,Wyoming,42.755,-107.302,0,1,8,8,8,15,15
