GEO.id,GEO.id2,location,lat,lng,shel11,shel12,shel13,shel14,shel15,shel16,shel17
0400000US04,4,Arizona,33.729759,-111.431221,2,2,17,24,35,108,114
0400000US06,6,California,36.116203,-119.681564,6,10,30,52,93,444,481
0400000US08,8,Colorado,39.059811,-105.311104,1,1,17,21,32,83,88
0400000US12,12,Florida,27.766279,-81.686783,4,3,20,32,61,224,247
0400000US13,13,Georgia,33.040619,-83.643074,4,4,17,22,44,150,168
0400000US17,17,Illinois,40.349457,-88.986137,2,3,11,14,29,93,107
0400000US21,21,Kentucky,37.66814,-84.670067,1,2,5,7,19,70,79
0400000US25,25,Massachussets,42.230171,-71.530106,1,1,4,4,10,66,71
0400000US26,26,Michigan,43.326618,-84.536095,0,2,10,12,22,71,80
0400000US27,27,Minnesota,45.69454,-93.900192,0,0,5,7,18,52,58
0400000US30,30,Montana,46.921925,-110.454353,0,0,1,1,3,19,21
0400000US31,31,Nebraska,41.12537,-117.055374,1,0,1,1,4,27,28
0400000US35,35,New Mexico,34.840515,-106.248482,0,0,5,8,13,48,51
0400000US36,36,New York,42.165726,-74.948051,1,2,12,20,36,154,180
0400000US39,39,Ohio,40.388783,-82.764915,2,1,11,19,30,91,106
0400000US41,41,Oregon,44.572012,-122.070938,0,0,9,16,28,78,81
0400000US42,42,Pennsylvania,40.590752,-77.209755,1,2,4,7,17,96,103
0400000US48,48,Texas,31.054487,-97.563461,5,5,24,40,65,214,245
0400000US53,53,Washington,47.400902,-121.409494,1,1,7,11,22,70,78
0400000US55,55,Wisconsin,44.268543,-89.616508,2,2,9,13,20,55,64
